id,prefix,name,chi2,pval
34550,b'5-phrase_feature__noun_phrases__next_system_utterance__request',5,1501.9779,0.0000
33309,b'5-phrase_feature__noun_phrases__next_system_utterance__nyou',5,1238.2639,0.0000
33197,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor_example',5,1040.3301,0.0000
33196,b'5-phrase_feature__noun_phrases__next_system_utterance__nfor',5,1040.3301,0.0000
28947,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor',5,1040.3301,0.0000
28948,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nfor_example',5,1040.3301,0.0000
33129,b'5-phrase_feature__noun_phrases__next_system_utterance__n_\\_nyou',5,935.3846,0.0000
28967,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nyou',5,935.3846,0.0000
2792,b'1-utterance_length.next_system_utterance__utterance_length',1,897.9034,0.0000
30962,b'5-phrase_feature__noun_phrases__next_system_utterance__example',5,743.7167,0.0000
34,b'3-time_feature__turns_to_end',3,671.9179,0.0000
46872,b'7-syntactic_feature__subj_word__next_system_utterance__titl',7,506.3669,0.0000
32366,b'5-phrase_feature__noun_phrases__next_system_utterance__leslie',5,388.6406,0.0000
28962,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_ntry',5,365.0066,0.0000
33281,b'5-phrase_feature__noun_phrases__next_system_utterance__ntry',5,365.0066,0.0000
35120,b'5-phrase_feature__noun_phrases__next_system_utterance__sorry',5,355.6549,0.0000
41007,b'6-entity_feature__entity__next_system_utterance__halloween_DATE',6,351.7964,0.0000
31559,b'5-phrase_feature__noun_phrases__next_system_utterance__halloween_party',5,351.7964,0.0000
36155,b'5-phrase_feature__noun_phrases__next_system_utterance__yes/no',5,351.6712,0.0000
44931,b'7-syntactic_feature__root_word__next_system_utterance__call',7,349.5698,0.0000
45135,b'7-syntactic_feature__root_word__next_system_utterance__find',7,344.4768,0.0000
44739,b"7-syntactic_feature__root_word__next_system_utterance__''",7,339.6939,0.0000
45349,b'7-syntactic_feature__root_word__next_system_utterance__lunch',7,327.9754,0.0000
46250,b'7-syntactic_feature__root_word__next_user_utterance__ye',7,315.2330,0.0000
24480,b'4.1-ngram.next_user_utterance__yes',4.1,315.2330,0.0000
43632,b'7-syntactic_feature__obj_word__next_system_utterance__request',7,314.5180,0.0000
45909,b'7-syntactic_feature__root_word__next_system_utterance__what',7,303.6067,0.0000
33607,b'5-phrase_feature__noun_phrases__next_system_utterance__party',5,299.1515,0.0000
45074,b'7-syntactic_feature__root_word__next_system_utterance__did',7,297.2825,0.0000
43627,b'7-syntactic_feature__obj_word__next_system_utterance__remind',7,297.2295,0.0000
33052,b'5-phrase_feature__noun_phrases__next_system_utterance__n1',5,295.9841,0.0000
46778,b'7-syntactic_feature__subj_word__next_system_utterance__remind',7,293.9305,0.0000
43714,b'7-syntactic_feature__obj_word__next_system_utterance__that',7,285.7022,0.0000
22747,b'1-utterance_length.next_user_utterance__utterance_length',1,285.2474,0.0000
31442,b'5-phrase_feature__noun_phrases__next_system_utterance__great',5,279.4974,0.0000
45201,b'7-syntactic_feature__root_word__next_system_utterance__great',7,279.0882,0.0000
30,b'3-time_feature__end_of_session',3,272.2220,0.0000
43418,b'7-syntactic_feature__obj_word__next_system_utterance__item',7,270.4851,0.0000
44768,b'7-syntactic_feature__root_word__next_system_utterance__ad',7,267.7295,0.0000
46709,b'7-syntactic_feature__subj_word__next_system_utterance__nyou',7,267.0933,0.0000
33063,b'5-phrase_feature__noun_phrases__next_system_utterance__n2',5,260.7042,0.0000
33203,b'5-phrase_feature__noun_phrases__next_system_utterance__nhere',5,260.2771,0.0000
28949,b'5-phrase_feature__noun_phrases__next_system_utterance__\\_nhere',5,259.5465,0.0000
